Species,Marginal_parechyma_2,Ring_porosity,Radial_dentric_arrangement,Intervessel_pit_size,Helical_thickening,Tyloses,Gums,Septate_fibers,Axial_parenchyma_multistate,AP_states,Wide_rays_more_than_3_cells,Ray_composition,Storied_structure,Radial_canals,Traumatic_canals,Crystals,Crystals_in_rays,Crystals_in_ap,Crystals_in_fibers,Silica,Vessel_ray pits,Growth_ring,FibersThick
Santiria_apiculata,present,absent,absent,large,absent,absent,absent,present,scanty,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,simple,present,absent
Santiria_griffithii,present,absent,absent,large,absent,absent,absent,present,scanty,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,simple,present,absent
Santiria_trimera,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,present,simple,absent,absent
Sapindus_saponaria,absent,absent,absent,small,present,absent,present,present,aliform,short,absent,homo_exclusively,absent,absent,absent,present,absent,present,NA,absent,equal,present,present
Sarcomelicope_simplicifolia,absent,absent,present,small,absent,absent,absent,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,NA,NA,present,NA,NA,equal,absent,present
Schinus_molle,absent,present,present,small,present,present,absent,present,scanty,long,present,homo_hetero_one,absent,present,absent,present,present,present,absent,absent,simple,present,absent
Schleichera_oleosa,absent,absent,absent,large,absent,absent,present,present,scanty,long,absent,hetero_more_one,absent,absent,absent,present,present,absent,present,absent,equal,present,present
Searsia_erosa,absent,absent,absent,small,absent,absent,absent,absent,scanty,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,simple,present,absent
Semecarpus_forstenii,absent,absent,absent,large,absent,present,absent,absent,aliform,short,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,absent,absent
Serjania,absent,absent,present,small,absent,absent,absent,present,vasicentric,long,present,hetero_more_one,absent,absent,absent,present,present,present,NA,absent,equal,absent,absent
Simaba,present,absent,absent,small,absent,absent,absent,absent,aliform,long,present,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Simaba_orinocensis,present,absent,absent,small,absent,absent,absent,absent,aliform,long,present,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Simarouba,present,absent,absent,small,absent,absent,present,absent,aliform,long,present,homo_hetero_one,present,absent,present,present,present,present,absent,absent,equal,present,absent
Skimmia_japonica,present,absent,present,small,absent,absent,absent,absent,aliform,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Soulamea_sp,absent,absent,absent,small,absent,absent,absent,absent,aliform,short,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,absent,absent
Spathelia,present,absent,present,small,absent,absent,absent,absent,scanty,short,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Spondias_tuberosa,absent,absent,absent,large,absent,present,absent,present,vasicentric,long,present,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,absent,absent
Swietenia_mahagoni,present,absent,absent,small,absent,absent,present,present,vasicentric,long,absent,hetero_more_one,present,absent,present,present,present,present,absent,absent,equal,present,absent
Swietenia_macrophylla,present,absent,absent,small,absent,absent,present,present,vasicentric,long,absent,hetero_more_one,present,absent,present,present,present,present,absent,absent,equal,present,absent
Talisia_nervosa,present,absent,absent,small+large,absent,absent,present,absent,aliform,long,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,absent,equal,absent,present
Tapirira_bethanniana,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
Tapirira_obtusa,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
Tetradium,absent,present,present,small,present,absent,present,absent,vasicentric,short,present,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Tetragastris_altissima,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,absent,absent
Thouinia_portoricensis,absent,absent,present,small,absent,absent,present,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,absent,present,absent,equal,present,absent
Toechima_tenax,absent,absent,absent,small,present,absent,present,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,absent,present,absent,equal,absent,absent
Toona_sinensis,present,present,absent,small,absent,absent,present,absent,aliform,long,present,hetero_more_one,absent,absent,present,present,present,absent,absent,absent,equal,present,absent
Toxicodendron_vernicifluum,present,present,present,large,present,present,absent,absent,scanty,long,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Trattinnickia_demerarae,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,present,simple,absent,absent
Trichilia_emetica,present,absent,absent,small,absent,absent,present,absent,vasicentric,long,absent,hetero_more_one,absent,absent,absent,present,absent,present,absent,present,equal,present,absent
Triomma_malaccensis,present,absent,absent,large,absent,absent,absent,present,scanty,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,absent,absent
Tristira_triptera,absent,absent,absent,small+large,absent,absent,present,present,aliform,long,absent,hetero_more_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Tristiropsis_acutangula,present,absent,absent,small+large,absent,absent,present,present,aliform,long,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Turraea_sericea,present,absent,absent,small,absent,absent,absent,absent,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,equal,present,absent
Turraeanthus_sp,absent,absent,absent,small,absent,absent,present,absent,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,present,present,absent,absent,equal,absent,absent
Walsura_tubulata,present,absent,absent,small,absent,absent,present,absent,aliform,long,absent,homo_hetero_one,present,absent,absent,absent,absent,absent,absent,absent,equal,present,present
Xanthoceras_sorbifolium,present,present,present,small+large,present,absent,present,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,present,absent,present,present,absent,equal,present,absent
Xylocarpus_mekongensis,present,absent,present,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,present,absent,absent,present,present,present,absent,absent,equal,present,present
